#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,Year,YearDate
615,J.D. Hammer,PHI,28.3%,62.7%,41.7%,64.3%,84.8%,76.3%,39.0%,56.4%,9.9%,18.3%,28.1%,2021.0,2021-01-01
616,David Phelps,TOR,28.3%,60.9%,40.2%,61.8%,83.3%,73.7%,36.5%,54.8%,10.6%,19.0%,29.6%,2021.0,2021-01-01
617,Wily Peralta,DET,28.3%,71.9%,45.0%,68.3%,88.6%,80.7%,38.4%,55.0%,8.7%,15.0%,23.7%,2021.0,2021-01-01
618,Jeff Hoffman,CIN,28.3%,68.9%,44.3%,55.4%,84.9%,73.5%,39.5%,54.3%,11.8%,15.6%,27.4%,2021.0,2021-01-01
619,Ross Stripling,TOR,28.3%,71.0%,47.1%,66.2%,85.6%,79.1%,44.1%,64.3%,9.8%,16.4%,26.3%,2021.0,2021-01-01
620,Tejay Antone,CIN,28.3%,55.3%,41.2%,52.6%,77.9%,68.8%,47.8%,63.3%,12.9%,25.0%,37.8%,2021.0,2021-01-01
621,Adrian Morejon,SDP,28.3%,76.5%,48.8%,69.2%,69.2%,69.2%,42.5%,55.0%,15.0%,15.0%,30.0%,2021.0,2021-01-01
622,Vince Velasquez,- - -,28.2%,70.6%,46.5%,64.1%,80.5%,74.8%,43.1%,61.2%,11.7%,15.3%,27.0%,2021.0,2021-01-01
623,Aaron Northcraft,SDP,28.2%,75.0%,44.2%,62.5%,87.9%,77.2%,34.1%,58.8%,10.1%,13.2%,23.3%,2021.0,2021-01-01
624,Drew Anderson,TEX,28.2%,70.0%,46.0%,68.4%,88.6%,81.5%,42.6%,65.9%,8.5%,18.5%,27.0%,2021.0,2021-01-01
625,James Karinchak,CLE,28.2%,64.6%,43.2%,61.4%,76.4%,70.6%,41.3%,55.3%,12.7%,16.8%,29.5%,2021.0,2021-01-01
626,Javy Guerra,WSN,28.2%,72.9%,49.3%,72.7%,94.1%,87.7%,47.3%,48.6%,6.1%,13.5%,19.6%,2021.0,2021-01-01
627,J.B. Wendelken,- - -,28.2%,71.0%,47.3%,67.5%,83.1%,78.0%,44.6%,56.2%,10.4%,14.8%,25.2%,2021.0,2021-01-01
628,David Price,LAD,28.2%,70.0%,48.2%,75.7%,84.3%,81.7%,47.9%,68.1%,8.8%,17.9%,26.7%,2021.0,2021-01-01
629,Anthony Bender,MIA,28.2%,55.6%,40.5%,45.0%,88.1%,71.6%,44.9%,61.5%,11.5%,23.8%,35.4%,2021.0,2021-01-01
630,Shane Greene,- - -,28.2%,64.4%,42.9%,66.7%,87.0%,79.1%,40.8%,59.3%,9.0%,17.3%,26.3%,2021.0,2021-01-01
631,Brett Anderson,MIL,28.1%,63.7%,41.0%,71.5%,93.7%,84.0%,36.3%,56.2%,6.6%,17.2%,23.8%,2021.0,2021-01-01
632,Thomas Eshelman,BAL,28.1%,60.8%,44.2%,77.8%,91.7%,87.2%,49.2%,58.7%,5.7%,19.0%,24.7%,2021.0,2021-01-01
633,Joe Jimenez,DET,28.1%,73.4%,47.3%,50.0%,81.9%,71.0%,42.5%,58.6%,13.7%,13.5%,27.3%,2021.0,2021-01-01
634,Daniel Norris,- - -,28.1%,70.1%,45.1%,52.1%,88.3%,74.9%,40.6%,58.9%,11.3%,15.0%,26.3%,2021.0,2021-01-01
635,Matt Foster,CHW,28.1%,73.7%,49.0%,69.4%,83.3%,79.0%,45.8%,52.3%,10.3%,15.0%,25.2%,2021.0,2021-01-01
636,Steve Cishek,LAA,28.1%,62.9%,41.2%,71.8%,87.9%,81.0%,37.6%,55.8%,7.8%,19.1%,26.9%,2021.0,2021-01-01
637,Mason Thompson,- - -,28.1%,62.8%,41.5%,64.4%,91.3%,80.1%,38.7%,52.1%,8.3%,16.3%,24.5%,2021.0,2021-01-01
638,Blake Taylor,HOU,28.1%,70.2%,44.5%,64.1%,85.9%,77.5%,39.0%,48.4%,10.0%,14.7%,24.7%,2021.0,2021-01-01
639,Isaac Mattson,BAL,28.1%,73.5%,45.1%,68.8%,84.0%,78.0%,37.4%,52.2%,9.9%,13.2%,23.1%,2021.0,2021-01-01
640,JC Mejia,CLE,28.0%,70.8%,45.6%,64.8%,89.5%,80.6%,41.1%,54.2%,8.9%,16.2%,25.1%,2021.0,2021-01-01
641,Kris Bubic,KCR,28.0%,66.8%,44.7%,66.2%,85.6%,78.6%,42.9%,55.4%,9.5%,17.3%,26.9%,2021.0,2021-01-01
642,Lance McCullers Jr.,HOU,28.0%,60.7%,41.5%,49.7%,86.8%,72.1%,41.2%,55.6%,11.6%,19.8%,31.4%,2021.0,2021-01-01
643,Brad Keller,KCR,28.0%,68.0%,44.5%,64.5%,88.3%,79.5%,41.2%,59.4%,9.1%,16.3%,25.4%,2021.0,2021-01-01
644,Jose De Leon,CIN,28.0%,65.2%,45.2%,48.1%,75.2%,66.2%,46.4%,65.9%,15.3%,18.4%,33.7%,2021.0,2021-01-01
645,Josh Osich,CIN,27.9%,70.5%,45.5%,68.4%,91.0%,82.9%,41.1%,55.0%,7.8%,16.0%,23.8%,2021.0,2021-01-01
646,Keegan Thompson,CHC,27.9%,70.4%,46.5%,63.2%,85.5%,78.0%,43.7%,58.4%,10.2%,15.6%,25.9%,2021.0,2021-01-01
647,Josh Lindblom,MIL,27.9%,69.2%,42.4%,77.4%,79.5%,78.6%,35.1%,56.5%,9.1%,16.7%,25.7%,2021.0,2021-01-01
648,Garrett Crochet,CHW,27.9%,64.6%,44.4%,58.2%,80.8%,72.9%,44.8%,56.1%,12.0%,16.8%,28.9%,2021.0,2021-01-01
649,Shaun Anderson,- - -,27.9%,72.6%,48.1%,59.7%,83.9%,76.2%,45.1%,55.6%,11.4%,14.4%,25.9%,2021.0,2021-01-01
650,Aroldis Chapman,NYY,27.9%,66.0%,44.1%,43.5%,72.2%,61.8%,42.5%,58.4%,16.8%,16.5%,33.4%,2021.0,2021-01-01
651,Nick Margevicius,SEA,27.9%,68.8%,45.6%,80.5%,87.0%,84.7%,43.2%,55.0%,6.9%,17.8%,24.7%,2021.0,2021-01-01
652,Konner Wade,BAL,27.9%,73.1%,47.6%,79.5%,79.7%,79.7%,43.5%,65.6%,9.7%,17.3%,27.0%,2021.0,2021-01-01
653,Aaron Bummer,CHW,27.9%,61.7%,42.0%,42.3%,86.3%,69.3%,41.8%,59.9%,12.9%,19.5%,32.4%,2021.0,2021-01-01
654,Chase De Jong,PIT,27.9%,71.5%,46.8%,63.1%,88.4%,79.9%,43.5%,59.7%,9.4%,16.1%,25.5%,2021.0,2021-01-01
655,Paul Blackburn,OAK,27.8%,65.4%,42.0%,73.7%,94.0%,85.7%,37.7%,55.4%,6.0%,17.6%,23.6%,2021.0,2021-01-01
656,Mike Foltynewicz,TEX,27.8%,71.1%,47.1%,72.1%,88.2%,82.9%,44.6%,61.8%,8.1%,17.2%,25.3%,2021.0,2021-01-01
657,Josh Staumont,KCR,27.8%,64.9%,43.3%,62.7%,82.9%,75.4%,41.9%,58.0%,10.7%,18.2%,28.8%,2021.0,2021-01-01
658,David Paulino,PHI,27.8%,78.6%,50.0%,100.0%,90.9%,93.8%,43.8%,55.6%,3.1%,15.6%,18.8%,2021.0,2021-01-01
659,Alec Bettinger,MIL,27.8%,71.4%,47.7%,90.0%,92.3%,91.6%,45.7%,56.9%,4.0%,15.6%,19.6%,2021.0,2021-01-01
660,Lou Trivino,OAK,27.8%,72.4%,46.0%,66.3%,84.0%,77.7%,41.0%,59.0%,10.3%,15.7%,26.0%,2021.0,2021-01-01
661,Patrick Murphy,- - -,27.7%,70.3%,46.3%,57.9%,88.6%,78.2%,43.6%,48.4%,10.1%,15.2%,25.3%,2021.0,2021-01-01
662,Nick Wittgren,CLE,27.7%,70.5%,46.3%,64.4%,82.0%,76.0%,43.3%,60.1%,11.1%,17.5%,28.6%,2021.0,2021-01-01
663,Jarlin Garcia,SFG,27.7%,65.8%,46.6%,67.1%,85.6%,80.1%,49.6%,60.6%,9.3%,20.7%,29.9%,2021.0,2021-01-01
664,Jandel Gustave,MIL,27.7%,71.1%,47.6%,63.6%,92.7%,83.6%,45.9%,54.4%,7.8%,16.3%,24.1%,2021.0,2021-01-01
665,Ryan Weber,- - -,27.7%,68.2%,44.4%,65.4%,86.7%,78.9%,41.3%,64.4%,9.4%,20.6%,30.0%,2021.0,2021-01-01
666,Wes Benjamin,TEX,27.7%,73.6%,47.3%,78.1%,80.7%,79.8%,42.7%,56.3%,9.5%,14.8%,24.3%,2021.0,2021-01-01
667,Ryan Helsley,STL,27.6%,68.8%,45.5%,55.6%,85.0%,74.9%,43.4%,56.3%,11.4%,14.9%,26.3%,2021.0,2021-01-01
668,Duane Underwood Jr.,PIT,27.6%,67.2%,44.7%,63.0%,85.7%,77.8%,43.3%,61.9%,9.9%,17.9%,27.9%,2021.0,2021-01-01
669,Scott Effross,CHC,27.6%,63.2%,44.6%,75.0%,71.6%,72.7%,47.7%,75.9%,12.2%,23.0%,35.1%,2021.0,2021-01-01
670,Dylan Coleman,KCR,27.6%,78.4%,51.4%,81.3%,75.0%,76.8%,46.8%,44.0%,11.9%,10.1%,22.0%,2021.0,2021-01-01
671,Jack Flaherty,STL,27.6%,68.9%,44.6%,58.4%,82.9%,74.0%,41.3%,58.7%,11.6%,16.6%,28.2%,2021.0,2021-01-01
672,Logan Allen,CLE,27.6%,70.1%,44.5%,75.2%,85.7%,81.7%,39.8%,55.9%,8.1%,16.4%,24.5%,2021.0,2021-01-01
673,Brad Brach,CIN,27.6%,70.0%,44.2%,61.9%,78.6%,72.3%,39.2%,60.4%,12.3%,17.1%,29.4%,2021.0,2021-01-01
674,Jorge Lopez,BAL,27.5%,63.2%,43.5%,69.0%,87.3%,80.9%,44.8%,56.6%,8.3%,18.1%,26.4%,2021.0,2021-01-01
675,Trevor Hildenberger,NYM,27.5%,55.6%,36.2%,63.6%,100.0%,81.0%,31.0%,64.3%,6.9%,19.0%,25.9%,2021.0,2021-01-01
676,Miguel Del Pozo,DET,27.5%,66.7%,46.8%,81.8%,80.8%,81.1%,49.4%,68.0%,8.8%,21.3%,30.0%,2021.0,2021-01-01
677,Taylor Hearn,TEX,27.5%,67.7%,46.0%,69.1%,84.9%,79.8%,46.0%,61.2%,9.3%,17.7%,26.9%,2021.0,2021-01-01
678,Cody Poteet,MIA,27.5%,70.4%,46.8%,60.2%,84.5%,76.7%,45.0%,62.1%,10.9%,16.4%,27.3%,2021.0,2021-01-01
679,Framber Valdez,HOU,27.4%,62.0%,42.0%,54.1%,88.8%,75.7%,42.2%,54.2%,10.2%,18.6%,28.8%,2021.0,2021-01-01
680,Spencer Howard,- - -,27.4%,67.3%,44.7%,70.5%,79.8%,76.6%,43.2%,62.0%,10.5%,17.7%,28.2%,2021.0,2021-01-01
681,Reiss Knehr,SDP,27.4%,72.9%,46.4%,72.0%,84.0%,79.8%,41.7%,58.9%,9.4%,13.1%,22.4%,2021.0,2021-01-01
682,Sam Clay,WSN,27.4%,66.1%,43.6%,65.6%,89.6%,80.9%,41.8%,50.9%,8.3%,16.9%,25.3%,2021.0,2021-01-01
683,Edward Cabrera,MIA,27.4%,70.9%,43.6%,60.2%,81.1%,72.9%,37.1%,52.5%,11.8%,14.3%,26.1%,2021.0,2021-01-01
684,Zack Burdi,- - -,27.4%,77.5%,47.5%,58.6%,78.2%,71.4%,40.1%,59.2%,13.6%,13.6%,27.1%,2021.0,2021-01-01
685,Justin Wilson,- - -,27.3%,70.1%,46.5%,74.7%,84.7%,81.5%,44.9%,55.7%,8.6%,16.9%,25.5%,2021.0,2021-01-01
686,Kohei Arihara,TEX,27.3%,67.9%,43.1%,68.1%,92.4%,83.0%,38.9%,52.2%,7.3%,18.0%,25.3%,2021.0,2021-01-01
687,Corey Knebel,LAD,27.3%,73.2%,49.1%,63.2%,78.4%,74.0%,47.6%,58.4%,12.8%,16.8%,29.6%,2021.0,2021-01-01
688,Ka'ai Tom,OAK,27.3%,66.7%,45.0%,100.0%,83.3%,88.9%,45.0%,25.0%,5.0%,20.0%,25.0%,2021.0,2021-01-01
689,Connor Seabold,BOS,27.3%,61.9%,44.2%,100.0%,84.6%,89.5%,48.8%,83.3%,4.7%,18.6%,23.3%,2021.0,2021-01-01
690,Taylor Widener,ARI,27.3%,69.2%,45.2%,64.7%,85.8%,78.5%,42.7%,53.9%,9.7%,16.3%,26.0%,2021.0,2021-01-01
691,Trevor Stephan,CLE,27.2%,72.7%,47.2%,58.9%,79.0%,72.5%,43.9%,58.5%,13.0%,14.8%,27.8%,2021.0,2021-01-01
692,Cristian Javier,HOU,27.2%,72.7%,44.9%,56.0%,79.5%,70.8%,38.9%,48.1%,13.1%,14.6%,27.7%,2021.0,2021-01-01
693,Drew Hutchison,DET,27.2%,75.7%,47.8%,52.8%,90.8%,78.4%,42.5%,61.5%,10.3%,11.2%,21.5%,2021.0,2021-01-01
694,Mauricio Llovera,PHI,27.2%,67.2%,44.8%,54.5%,90.7%,78.5%,44.1%,60.0%,9.7%,17.9%,27.6%,2021.0,2021-01-01
695,Dusten Knight,BAL,27.1%,63.3%,42.5%,58.6%,82.0%,73.4%,42.5%,61.4%,11.3%,18.3%,29.6%,2021.0,2021-01-01
696,Mike Wright Jr.,CHW,27.1%,65.4%,42.8%,65.4%,93.1%,82.7%,40.9%,53.1%,7.4%,14.5%,21.8%,2021.0,2021-01-01
697,Jordan Hicks,STL,27.1%,56.8%,37.7%,72.2%,85.7%,79.5%,35.7%,43.2%,7.7%,15.9%,23.7%,2021.0,2021-01-01
698,Justus Sheffield,SEA,27.0%,68.6%,44.0%,65.1%,89.8%,80.8%,40.9%,62.3%,8.4%,16.7%,25.2%,2021.0,2021-01-01
699,Eric Hanhold,BAL,27.0%,76.9%,47.6%,53.3%,85.0%,74.4%,41.3%,46.8%,12.2%,12.7%,24.9%,2021.0,2021-01-01
700,Andre Jackson,LAD,27.0%,76.1%,48.7%,53.3%,80.6%,72.2%,44.2%,62.0%,13.6%,13.1%,26.6%,2021.0,2021-01-01
701,A.J. Puk,OAK,26.9%,65.1%,44.0%,63.9%,85.9%,78.5%,44.9%,56.9%,9.5%,17.3%,26.7%,2021.0,2021-01-01
702,Jefry Rodriguez,WSN,26.8%,69.1%,45.4%,64.5%,91.2%,82.4%,43.9%,62.5%,8.0%,14.3%,22.3%,2021.0,2021-01-01
703,Jay Flaa,- - -,26.8%,75.0%,42.6%,36.4%,73.3%,57.7%,32.8%,53.8%,18.0%,9.8%,27.9%,2021.0,2021-01-01
704,Seth Frankoff,ARI,26.8%,73.8%,46.2%,61.0%,94.9%,83.3%,41.2%,50.0%,7.7%,11.9%,19.6%,2021.0,2021-01-01
705,Jimmy Lambert,CHW,26.8%,76.9%,48.0%,84.2%,85.0%,84.7%,42.3%,56.7%,7.3%,12.6%,19.9%,2021.0,2021-01-01
706,Miguel Yajure,PIT,26.8%,67.0%,43.1%,60.5%,90.8%,79.6%,40.6%,45.6%,8.8%,16.7%,25.5%,2021.0,2021-01-01
707,Johan Oviedo,STL,26.7%,68.7%,44.4%,55.4%,86.6%,75.7%,42.1%,57.6%,10.8%,15.9%,26.7%,2021.0,2021-01-01
708,Pedro Strop,CHC,26.7%,46.7%,33.3%,62.5%,71.4%,66.7%,33.3%,60.0%,11.1%,22.2%,33.3%,2021.0,2021-01-01
709,Tommy Nance,CHC,26.6%,59.4%,41.9%,61.5%,86.5%,78.0%,46.5%,56.7%,9.2%,21.9%,31.1%,2021.0,2021-01-01
710,Brad Boxberger,MIL,26.6%,69.2%,45.5%,65.4%,74.5%,71.6%,44.4%,56.8%,12.9%,18.2%,31.2%,2021.0,2021-01-01
711,Paul Campbell,MIA,26.6%,75.6%,47.6%,64.8%,81.6%,76.2%,42.9%,64.5%,11.3%,15.2%,26.5%,2021.0,2021-01-01
712,Nick Sandlin,CLE,26.6%,59.1%,40.5%,51.1%,82.2%,70.5%,42.6%,48.9%,11.9%,20.4%,32.3%,2021.0,2021-01-01
713,Antonio Senzatela,COL,26.6%,71.8%,47.6%,65.3%,89.0%,81.9%,46.4%,64.2%,8.6%,16.4%,25.0%,2021.0,2021-01-01
714,Jake Brentz,KCR,26.5%,67.2%,43.4%,52.6%,81.2%,71.0%,41.6%,56.8%,12.6%,16.8%,29.4%,2021.0,2021-01-01
715,Jordan Weems,- - -,26.5%,74.5%,44.8%,63.6%,86.8%,78.3%,38.1%,46.7%,9.7%,11.9%,21.6%,2021.0,2021-01-01
716,Francisco Perez,CLE,26.5%,61.1%,41.8%,66.7%,87.9%,80.4%,44.3%,42.9%,8.2%,18.0%,26.2%,2021.0,2021-01-01
717,Kyle Tyler,LAA,26.4%,72.5%,43.2%,84.4%,92.0%,89.0%,36.3%,42.3%,4.7%,16.3%,21.1%,2021.0,2021-01-01
718,Andres Machado,WSN,26.4%,66.7%,44.5%,65.9%,84.6%,78.5%,45.0%,53.2%,9.6%,16.3%,25.8%,2021.0,2021-01-01
719,Jesse Chavez,ATL,26.4%,65.7%,43.9%,74.0%,88.4%,83.6%,44.7%,64.7%,7.2%,21.0%,28.2%,2021.0,2021-01-01
720,Peter Solomon,HOU,26.4%,73.4%,42.7%,71.8%,87.9%,81.4%,34.8%,58.2%,7.9%,14.1%,22.0%,2021.0,2021-01-01
721,Fernando Abad,BAL,26.3%,65.9%,43.8%,75.0%,93.1%,87.0%,44.1%,58.5%,5.7%,17.4%,23.1%,2021.0,2021-01-01
722,John Gant,- - -,26.3%,68.7%,42.8%,63.3%,86.6%,77.9%,39.1%,53.0%,9.5%,16.0%,25.5%,2021.0,2021-01-01
723,Caleb Baragar,SFG,26.3%,74.4%,47.8%,69.2%,81.5%,77.8%,44.7%,53.1%,10.6%,14.2%,24.9%,2021.0,2021-01-01
724,Ryan Buchter,ARI,26.3%,70.4%,43.5%,68.1%,85.2%,78.9%,39.1%,53.8%,9.2%,15.6%,24.8%,2021.0,2021-01-01
725,Jon Duplantier,ARI,26.2%,62.0%,43.3%,75.7%,85.0%,82.1%,47.8%,58.6%,7.8%,16.7%,24.4%,2021.0,2021-01-01
726,Sean Reid-Foley,NYM,26.2%,73.3%,46.6%,60.0%,78.8%,72.8%,43.4%,53.3%,12.7%,15.9%,28.6%,2021.0,2021-01-01
727,Ty Tice,- - -,26.2%,70.7%,44.4%,68.2%,90.2%,82.5%,40.8%,53.8%,7.7%,17.6%,25.4%,2021.0,2021-01-01
728,Stefan Crichton,ARI,26.2%,67.5%,43.5%,75.4%,90.4%,85.1%,42.0%,53.0%,6.5%,17.6%,24.1%,2021.0,2021-01-01
729,Brett de Geus,- - -,26.2%,68.6%,42.8%,70.3%,91.4%,83.6%,39.2%,55.0%,7.0%,17.3%,24.4%,2021.0,2021-01-01
730,Mike Kickham,LAD,26.1%,81.8%,53.3%,66.7%,88.9%,83.3%,48.9%,58.3%,8.9%,11.1%,20.0%,2021.0,2021-01-01
731,Cooper Criswell,LAA,26.1%,77.8%,48.8%,100.0%,100.0%,100.0%,43.9%,40.0%,0.0%,14.6%,14.6%,2021.0,2021-01-01
732,Charlie Barnes,MIN,26.1%,70.2%,44.6%,70.7%,91.7%,84.6%,42.0%,61.1%,6.9%,16.3%,23.2%,2021.0,2021-01-01
733,Peter Lambert,COL,26.0%,72.0%,44.7%,73.7%,83.3%,80.0%,40.7%,53.3%,8.9%,14.6%,23.6%,2021.0,2021-01-01
734,Chi Chi Gonzalez,COL,26.0%,73.3%,48.2%,78.3%,88.9%,85.9%,46.8%,60.5%,6.8%,16.8%,23.5%,2021.0,2021-01-01
735,Julian Merryweather,TOR,26.0%,67.5%,48.4%,57.7%,84.8%,78.1%,53.9%,63.6%,10.6%,19.4%,30.0%,2021.0,2021-01-01
736,Ryan Burr,CHW,26.0%,68.1%,44.0%,54.5%,87.9%,76.6%,42.8%,57.0%,10.3%,16.2%,26.5%,2021.0,2021-01-01
737,Touki Toussaint,ATL,25.9%,62.9%,41.3%,54.0%,87.9%,75.5%,41.7%,57.9%,10.1%,18.2%,28.3%,2021.0,2021-01-01
738,Cory Abbott,CHC,25.9%,75.0%,44.3%,73.7%,87.9%,82.7%,37.5%,51.2%,7.7%,12.2%,19.9%,2021.0,2021-01-01
739,Carlos Estevez,COL,25.9%,76.4%,49.7%,65.9%,82.6%,78.0%,47.1%,60.0%,10.9%,13.8%,24.7%,2021.0,2021-01-01
740,Adam Ottavino,BOS,25.9%,61.1%,40.3%,56.0%,84.3%,73.6%,41.0%,55.4%,10.6%,21.0%,31.7%,2021.0,2021-01-01
741,Jesse Hahn,KCR,25.9%,56.7%,36.4%,86.7%,88.2%,87.5%,34.1%,52.6%,4.5%,18.2%,22.7%,2021.0,2021-01-01
742,Phillips Valdez,BOS,25.8%,66.3%,41.8%,69.2%,85.5%,79.4%,39.5%,54.2%,8.6%,18.1%,26.8%,2021.0,2021-01-01
743,Jose Alvarado,PHI,25.8%,60.0%,40.0%,44.3%,83.5%,68.7%,41.4%,51.0%,12.5%,19.0%,31.6%,2021.0,2021-01-01
744,Nick Neidert,MIA,25.8%,70.1%,45.2%,82.8%,83.6%,83.3%,43.6%,64.3%,7.5%,15.9%,23.4%,2021.0,2021-01-01
745,Jon Gray,COL,25.8%,68.0%,44.9%,53.6%,85.5%,75.5%,45.3%,64.3%,11.0%,17.8%,28.8%,2021.0,2021-01-01
746,Joan Adon,WSN,25.8%,62.5%,38.3%,43.8%,85.0%,66.7%,34.0%,62.5%,12.8%,22.3%,35.1%,2021.0,2021-01-01
747,Zac Lowther,BAL,25.8%,65.2%,43.5%,56.8%,86.2%,76.6%,44.9%,61.6%,10.2%,18.4%,28.5%,2021.0,2021-01-01
748,Kent Emanuel,HOU,25.8%,63.0%,42.5%,82.4%,91.2%,88.2%,45.0%,64.7%,5.0%,23.8%,28.8%,2021.0,2021-01-01
749,Brandon Workman,- - -,25.7%,61.1%,40.0%,64.6%,85.8%,77.7%,40.4%,56.6%,8.9%,20.4%,29.3%,2021.0,2021-01-01
750,Riley Smith,ARI,25.7%,69.5%,47.1%,79.4%,89.8%,86.9%,48.7%,64.8%,6.2%,18.5%,24.6%,2021.0,2021-01-01
751,Lucas Gilbreath,COL,25.7%,72.3%,45.3%,53.2%,80.2%,71.3%,42.0%,54.1%,13.0%,15.5%,28.5%,2021.0,2021-01-01
752,Mychal Givens,- - -,25.7%,68.9%,43.2%,63.9%,78.3%,73.2%,40.6%,54.6%,11.6%,17.6%,29.2%,2021.0,2021-01-01
753,Dean Kremer,BAL,25.6%,69.4%,45.3%,71.2%,86.7%,81.9%,45.0%,55.9%,8.2%,15.4%,23.6%,2021.0,2021-01-01
754,Brad Hand,- - -,25.6%,62.3%,42.1%,70.9%,87.1%,81.7%,45.1%,62.2%,7.7%,20.3%,28.0%,2021.0,2021-01-01
755,Jose Cisnero,DET,25.6%,68.9%,44.6%,75.2%,80.8%,79.0%,44.0%,52.5%,9.4%,17.2%,26.6%,2021.0,2021-01-01
756,Jake Arrieta,- - -,25.6%,64.9%,42.6%,70.1%,90.2%,83.3%,43.1%,58.2%,7.1%,18.4%,25.5%,2021.0,2021-01-01
757,Aaron Sanchez,SFG,25.6%,67.8%,42.5%,70.3%,88.9%,82.2%,40.2%,49.4%,7.6%,17.1%,24.7%,2021.0,2021-01-01
758,Colin Rea,MIL,25.5%,77.5%,48.4%,46.2%,93.5%,79.5%,44.0%,50.0%,9.9%,14.3%,24.2%,2021.0,2021-01-01
759,Bryan Garcia,DET,25.4%,76.2%,45.6%,66.1%,88.2%,80.8%,39.7%,55.7%,8.8%,13.3%,22.0%,2021.0,2021-01-01
760,Sean Nolin,WSN,25.4%,72.9%,46.5%,67.1%,87.0%,81.0%,44.5%,57.7%,8.8%,15.2%,24.0%,2021.0,2021-01-01
761,Jon Heasley,KCR,25.3%,72.1%,44.8%,81.1%,90.7%,87.5%,41.6%,64.4%,5.6%,14.4%,20.0%,2021.0,2021-01-01
762,Andre Scrubb,HOU,25.3%,54.9%,36.4%,58.9%,86.3%,74.4%,37.6%,48.8%,9.3%,20.1%,29.4%,2021.0,2021-01-01
763,Travis Lakins Sr.,BAL,25.3%,67.9%,44.3%,72.9%,81.6%,78.8%,44.7%,57.7%,9.4%,17.0%,26.3%,2021.0,2021-01-01
764,Chad Kuhl,PIT,25.3%,65.6%,41.4%,58.7%,82.4%,73.7%,39.9%,51.6%,10.9%,16.8%,27.6%,2021.0,2021-01-01
765,Clay Holmes,- - -,25.2%,60.2%,41.1%,51.0%,84.0%,72.9%,45.4%,60.6%,11.1%,21.8%,32.9%,2021.0,2021-01-01
766,Matt Peacock,ARI,25.2%,71.8%,45.9%,67.0%,89.3%,82.5%,44.5%,56.2%,8.0%,16.0%,24.0%,2021.0,2021-01-01
767,Alexander Wells,BAL,25.1%,64.6%,42.8%,77.9%,88.6%,85.1%,45.0%,60.4%,6.4%,20.3%,26.7%,2021.0,2021-01-01
768,Asdrubal Cabrera,ARI,25.0%,100.0%,47.1%,100.0%,100.0%,100.0%,29.4%,50.0%,0.0%,17.6%,17.6%,2021.0,2021-01-01
769,Mike Fiers,OAK,25.0%,73.4%,45.4%,90.9%,89.4%,89.9%,42.1%,68.9%,4.6%,17.1%,21.7%,2021.0,2021-01-01
770,Brock Holt,TEX,25.0%,50.0%,30.0%,100.0%,100.0%,100.0%,20.0%,33.3%,0.0%,30.0%,30.0%,2021.0,2021-01-01
771,Asher Wojciechowski,NYY,25.0%,67.7%,41.0%,69.2%,90.5%,82.4%,37.3%,52.6%,7.2%,16.9%,24.1%,2021.0,2021-01-01
772,Kevin Pillar,NYM,25.0%,100.0%,50.0%,0.0%,100.0%,66.7%,33.3%, ,16.7%,0.0%,16.7%,2021.0,2021-01-01
773,Carl Edwards Jr.,- - -,25.0%,72.1%,43.2%,47.1%,87.1%,72.9%,38.7%,38.7%,11.7%,13.5%,25.2%,2021.0,2021-01-01
774,Joey Krehbiel,- - -,25.0%,70.5%,45.9%,72.2%,81.4%,78.7%,45.9%,52.9%,9.8%,12.8%,22.6%,2021.0,2021-01-01
775,Daniel Robertson,MIL,25.0%,66.7%,50.0%,100.0%,75.0%,80.0%,60.0%,75.0%,10.0%,20.0%,30.0%,2021.0,2021-01-01
776,Akeem Bostick,NYM,25.0%,50.0%,35.7%,50.0%,100.0%,80.0%,42.9%,75.0%,7.1%,21.4%,28.6%,2021.0,2021-01-01
777,Brent Honeywell,TBR,25.0%,73.5%,46.2%,72.7%,88.0%,83.3%,43.6%,66.7%,7.7%,12.8%,20.5%,2021.0,2021-01-01
778,Jordan Sheffield,COL,25.0%,74.5%,45.0%,66.2%,83.9%,78.0%,40.4%,56.0%,9.9%,15.1%,25.0%,2021.0,2021-01-01
779,Andres Munoz,SEA,25.0%,20.0%,23.5%,66.7%,100.0%,75.0%,29.4%,50.0%,5.9%,29.4%,35.3%,2021.0,2021-01-01
780,Luis Frias,ARI,25.0%,60.7%,39.7%,60.0%,88.2%,77.8%,41.2%,75.0%,8.8%,17.6%,26.5%,2021.0,2021-01-01
781,Paul Fry,BAL,25.0%,62.9%,40.3%,56.6%,87.4%,76.1%,40.6%,51.6%,9.6%,19.0%,28.7%,2021.0,2021-01-01
782,Justin Garza,CLE,24.9%,67.6%,42.7%,71.2%,81.0%,77.7%,41.7%,59.4%,9.5%,16.9%,26.4%,2021.0,2021-01-01
783,Chris Archer,TBR,24.9%,71.9%,45.9%,53.3%,84.8%,75.3%,44.6%,61.4%,11.3%,16.8%,28.1%,2021.0,2021-01-01
784,Beau Burrows,- - -,24.8%,79.2%,46.4%,72.5%,88.1%,83.1%,39.7%,56.9%,7.9%,12.4%,20.2%,2021.0,2021-01-01
